Name,2018,2019,2020,2021,2022,2023
Alabama,"61,420","68,110","65,600","65,360","63,870","62,230"
Alaska,"84,540","95,010","89,650","93,150","95,670","100,700"
Arizona,"76,600","85,650","80,470","81,310","78,300","84,800"
Arkansas,"61,230","66,100","60,900","58,310","57,540","64,880"
California,"86,690","94,660","93,140","93,660","90,930","92,200"
Colorado,"89,820","87,870","100,500","97,540","95,870","99,140"
Connecticut,"89,550","105,800","95,280","92,950","96,720","94,620"
Delaware,"79,960","89,920","83,990","78,860","86,090","88,570"
District of Columbia,"105,500","112,800","105,800","104,100","108,400","113,900"
Florida,"67,210","70,740","69,280","68,580","69,680","74,070"
Georgia,"68,650","68,630","71,090","70,610","72,200","74,290"
Hawaii,"98,520","106,700","96,950","94,370","97,010","99,880"
Idaho,"72,230","79,970","80,030","88,310","77,370","75,820"
Illinois,"86,270","90,170","89,160","90,990","83,170","90,090"
Indiana,"73,660","80,830","80,130","80,590","74,650","78,900"
Iowa,"84,520","80,050","82,540","83,160","81,360","82,950"
Kansas,"78,640","88,660","87,660","87,230","77,870","87,030"
Kentucky,"67,100","67,460","68,080","63,870","59,560","63,590"
Louisiana,"61,460","62,670","61,390","65,680","62,180","59,140"
Maine,"72,150","80,650","76,400","81,680","80,130","77,700"
Maryland,"106,000","115,800","113,700","111,700","115,400","104,600"
Massachusetts,"106,200","106,300","105,300","99,390","99,720","109,300"
Michigan,"74,350","77,710","77,240","74,040","73,550","78,950"
Minnesota,"88,330","98,680","94,460","92,360","96,350","92,680"
Mississippi,"52,620","54,280","54,140","53,550","51,820","56,490"
Missouri,"75,920","73,440","74,580","73,010","76,240","80,310"
Montana,"70,940","72,950","68,060","74,630","77,790","81,270"
Nebraska,"83,110","88,560","86,660","89,680","83,540","91,500"
Nevada,"76,090","85,930","73,360","73,870","77,100","83,410"
New Hampshire,"100,000","105,300","106,600","102,000","90,580","101,300"
New Jersey,"91,230","106,300","102,600","101,700","98,430","93,960"
New Mexico,"59,380","64,370","61,060","61,380","60,150","62,560"
New York,"82,740","87,080","82,350","83,720","80,920","83,710"
North Carolina,"65,640","74,120","72,480","72,210","69,370","70,390"
North Dakota,"81,790","84,870","76,900","79,090","83,910","78,950"
Ohio,"75,800","78,370","72,420","71,970","71,980","75,680"
Oklahoma,"66,950","71,990","62,940","69,000","67,630","69,070"
Oregon,"85,070","90,190","92,180","93,980","92,510","91,030"
Pennsylvania,"79,360","85,540","84,910","83,380","76,970","81,880"
Rhode Island,"76,580","85,020","96,170","86,090","85,980","83,980"
South Carolina,"70,650","75,180","72,380","71,810","65,840","70,890"
South Dakota,"73,130","77,870","84,190","84,840","71,620","83,860"
Tennessee,"68,950","68,630","65,940","71,370","69,700","74,580"
Texas,"73,530","81,740","82,050","77,390","79,560","81,110"
Utah,"94,780","102,400","100,700","100,600","102,100","103,800"
Vermont,"86,170","90,050","80,670","87,350","76,960","87,400"
Virginia,"94,890","98,550","98,610","92,160","90,790","98,990"
Washington,"98,060","99,930","97,580","100,600","95,330","95,850"
West Virginia,"62,200","65,090","62,340","53,770","55,920","61,970"
Wisconsin,"77,030","81,630","80,850","80,300","78,170","81,750"
Wyoming,"76,920","78,940","78,500","81,580","77,920","79,200"
